wsi,msi,dataset,patch,level,x,y,size,tumor_ratio,blank_ratio,file
training_data_01,1,train,training_data_01_l2_49152_65536,2,49152,65536,256,0.878814697265625,0.0888671875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_49152_65536.tif
training_data_01,1,train,training_data_01_l2_49152_69632,2,49152,69632,256,1.0,0.0126953125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_49152_69632.tif
training_data_01,1,train,training_data_01_l2_49152_73728,2,49152,73728,256,0.9930572509765624,0.0361328125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_49152_73728.tif
training_data_01,1,train,training_data_01_l2_49152_77824,2,49152,77824,256,0.70501708984375,0.322265625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_49152_77824.tif
training_data_01,1,train,training_data_01_l2_53248_57344,2,53248,57344,256,0.796112060546875,0.39453125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_53248_57344.tif
training_data_01,1,train,training_data_01_l2_53248_61440,2,53248,61440,256,0.94110107421875,0.1181640625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_53248_61440.tif
training_data_01,1,train,training_data_01_l2_53248_65536,2,53248,65536,256,0.9386138916015624,0.04296875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_53248_65536.tif
training_data_01,1,train,training_data_01_l2_53248_69632,2,53248,69632,256,0.75848388671875,0.07421875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_53248_69632.tif
training_data_01,1,train,training_data_01_l2_57344_57344,2,57344,57344,256,0.8681640625,0.1826171875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_57344_57344.tif
training_data_01,1,train,training_data_01_l2_77824_28672,2,77824,28672,256,0.9990692138671876,0.0107421875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_77824_28672.tif
training_data_01,1,train,training_data_01_l2_77824_32768,2,77824,32768,256,0.8740234375,0.0390625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_77824_32768.tif
training_data_01,1,train,training_data_01_l2_81920_28672,2,81920,28672,256,1.0,0.0283203125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_81920_28672.tif
training_data_01,1,train,training_data_01_l2_81920_40960,2,81920,40960,256,0.9868927001953124,0.001953125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_81920_40960.tif
training_data_01,1,train,training_data_01_l2_81920_45056,2,81920,45056,256,0.834747314453125,0.2158203125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_81920_45056.tif
training_data_01,1,train,training_data_01_l2_86016_28672,2,86016,28672,256,1.0,0.0205078125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_28672.tif
training_data_01,1,train,training_data_01_l2_86016_32768,2,86016,32768,256,0.9929656982421876,0.1611328125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_32768.tif
training_data_01,1,train,training_data_01_l2_86016_36864,2,86016,36864,256,0.7918243408203125,0.0244140625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_36864.tif
training_data_01,1,train,training_data_01_l2_86016_40960,2,86016,40960,256,0.8502044677734375,0.0078125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_40960.tif
training_data_01,1,train,training_data_01_l2_86016_45056,2,86016,45056,256,1.0,0.0126953125,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_45056.tif
training_data_01,1,train,training_data_01_l2_86016_49152,2,86016,49152,256,0.9365234375,0.1435546875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_49152.tif
training_data_01,1,train,training_data_01_l2_86016_69632,2,86016,69632,256,0.9946136474609376,0.0244140625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_69632.tif
training_data_01,1,train,training_data_01_l2_86016_73728,2,86016,73728,256,0.73089599609375,0.2373046875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_73728.tif
training_data_01,1,train,training_data_01_l2_86016_77824,2,86016,77824,256,0.8793792724609375,0.353515625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_86016_77824.tif
training_data_01,1,train,training_data_01_l2_90112_28672,2,90112,28672,256,1.0,0.0556640625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_28672.tif
training_data_01,1,train,training_data_01_l2_90112_32768,2,90112,32768,256,1.0,0.130859375,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_32768.tif
training_data_01,1,train,training_data_01_l2_90112_36864,2,90112,36864,256,1.0,0.044921875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_36864.tif
training_data_01,1,train,training_data_01_l2_90112_40960,2,90112,40960,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_40960.tif
training_data_01,1,train,training_data_01_l2_90112_45056,2,90112,45056,256,1.0,0.0029296875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_45056.tif
training_data_01,1,train,training_data_01_l2_90112_49152,2,90112,49152,256,1.0,0.0,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_49152.tif
training_data_01,1,train,training_data_01_l2_90112_53248,2,90112,53248,256,0.9866485595703124,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_53248.tif
training_data_01,1,train,training_data_01_l2_90112_57344,2,90112,57344,256,0.757843017578125,0.0029296875,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_57344.tif
training_data_01,1,train,training_data_01_l2_90112_61440,2,90112,61440,256,0.981536865234375,0.0009765625,PAIP2020/training/patch_level2_256_macenko/training_data_01/training_data_01_l2_90112_61440.tif
